GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EnergyConsumption,com.track.electricity.consumption.vo.response,GetElectricityReadingsResponse,31,0,0,0,6,0,9,0,9,0
EnergyConsumption,com.track.electricity.consumption.vo.response,RemoveElectricityReadingResponse,13,0,0,0,3,0,3,0,3,0
EnergyConsumption,com.track.electricity.consumption.vo.response,SaveOrUpdateElectricityReadingResponse,23,9,0,0,11,4,5,2,5,2
EnergyConsumption,com.track.electricity.consumption.vo.response,ElectricityConsumptionResponse,17,0,0,0,4,0,5,0,5,0
EnergyConsumption,com.track.electricity.consumption.vo.response,BusinessError,13,0,0,0,6,0,3,0,3,0
EnergyConsumption,com.track.electricity.consumption.validator,ReadingsValidator,74,0,10,0,16,0,9,0,4,0
EnergyConsumption,com.track.electricity.consumption.aspect,LoggingPointcutAspect,44,0,0,0,9,0,7,0,7,0
EnergyConsumption,com.track.electricity.consumption.controller.impl,ElectricityReadingControllerImpl,215,20,14,2,37,4,12,2,4,2
EnergyConsumption,com.track.electricity.consumption.controller.impl,EnergyConsumptionControllerImpl,45,0,4,0,10,0,4,0,2,0
EnergyConsumption,com.track.electricity.consumption.cache.impl,ElectricityReadingCacheServiceImpl,204,0,8,0,37,0,9,0,5,0
EnergyConsumption,com.track.electricity.consumption.exceptions,GlobalExceptionHandler,11,0,0,0,4,0,3,0,3,0
EnergyConsumption,com.track.electricity.consumption.vo.request,RemoveReadingsRequest,17,0,0,0,4,0,5,0,5,0
EnergyConsumption,com.track.electricity.consumption.vo.request,CacheReading,26,0,0,0,5,0,6,0,6,0
EnergyConsumption,com.track.electricity.consumption.vo.request,ElectricityConsumptionRequest,10,0,0,0,3,0,3,0,3,0
EnergyConsumption,com.track.electricity.consumption.vo.request,ElectricityReadingData,9,15,0,0,3,2,3,4,3,4
EnergyConsumption,com.track.electricity.consumption.vo.request,SaveOrUpdateReadingRequest,3,7,0,0,1,2,1,2,1,2
EnergyConsumption,com.track.electricity.consumption.vo.request,GetReadingsRequest,17,0,0,0,4,0,5,0,5,0
EnergyConsumption,com.track.electricity.consumption.config,SwaggerConfig,18,0,0,0,4,0,2,0,2,0
EnergyConsumption,com.track.electricity.consumption.config,CacheConfig,30,0,0,0,7,0,3,0,3,0
EnergyConsumption,com.track.electricity.consumption,ElectricityConsumptionApplication,8,0,0,0,3,0,2,0,2,0
EnergyConsumption,com.track.electricity.consumption.constants,ErrorConstants,3,0,0,0,2,0,1,0,1,0
EnergyConsumption,com.track.electricity.consumption.constants,EnergyConsumptionConstants,3,0,0,0,2,0,1,0,1,0
EnergyConsumption,com.track.electricity.consumption.enums,MonthEnum,211,0,4,0,28,0,12,0,10,0
